<<<<<<< HEAD
﻿id,name,type,grade,rank,effect,owners,target
1,名称取得失敗,固有,不明,品質：不明,,,不明
2,第六天の魔王,固有,不明,品質：不明,品質:S種類:受動発動率:100%各ターン100%の確率で発動し、発動したターン中は武勇と知略が100増加し、自身の攻撃後に再度攻撃する,織田信長,自分
3,三河武士,固有,不明,品質：不明,品質:S種類:指揮発動率:100%戦闘開始から戦闘終了まで、味方それぞれの被ダメージが本来の15%減少する(さらに統率値により被ダメージ減少),徳川家康,不明
4,最強の虎,固有,不明,品質：不明,品質:S種類:指揮発動率:100%各ターン中、味方1人毎に各効果を20%の確率(さらに統率値により確率上昇)で付与する。(1)連撃(2)休憩(回復率100%)(3)範囲攻撃(ダメージ率50%)(4)抵抗,武田信玄,不明
5,相模獅子,固有,不明,品質：不明,品質:S種類:指揮発動率:50%戦闘開始後の1ターン目で、ランダムな敵2人に威嚇を付与し、効果は1ターン目で終了する。さらにこの2人の敵の全能力が15%(さらに統率値により減少値を追加)減少する。行動する毎に1/3ずつ効果が軽減し、付与された4回目の行動開始前まで持続する,北条氏康,敵軍ランダム2人
6,蝮の悪計,固有,不明,品質：不明,品質:S種類:自律発動率:50%敵に3回知略攻撃(ダメージ率84%)を仕掛ける。ダメージを与える対象は1回毎にランダムになる。各攻撃の対象となった敵には中毒、火傷、恐慌(ダメージ率84%)を順に付与する。各効果は付与後に2回、行動開始すると終了する,斎藤道三,敵軍1人
7,山吹の智将,固有,不明,品質：不明,品質:S種類:自律発動率:100%戦法発動後、2ターン後の自身の行動時、敵全員に知略攻撃(ダメージ率540%)を仕掛ける,太田道灌,自分
8,軍神兵法,固有,不明,品質：不明,品質:S種類:指揮発動率:60%ターン毎に味方それぞれを対象に以下の効果を与える。(1)25%の確率(さらに統率値により確率上昇)でランダムな敵1人に武勇攻撃(ダメージ率178%)を仕掛ける。(2)15%の確率(さらに速度値により確率上昇)で、このターン中、自身に抵抗を1回付与する,上杉謙信,自分
9,三矢の教え,固有,不明,品質：不明,品質:S種類:自律発動率:100%味方それぞれがランダムな敵1人に1回武勇攻撃(ダメージ率170%)か知略攻撃(ダメージ率170%)を仕掛ける。能力が高い方で発動する攻撃の種類が決まる,毛利元就,敵軍ランダム1人
10,日本一の兵,固有,不明,品質：不明,品質:S種類:受動発動率:100%戦闘開始後、自身の与ダメージが本来の100%増加する。効果は戦闘終了まで持続する,真田幸村,自分
11,千成瓢箪,固有,不明,品質：不明,品質:S種類:指揮発動率:100%味方それぞれが自律戦法、追撃戦法を発動する度に、ランダムな敵1人に追加で1回の知略攻撃(ダメージ率90%)を仕掛ける,羽柴秀吉,敵軍ランダム1人
12,今川の軍略,固有,不明,品質：不明,品質:S種類:指揮発動率:40%味方それぞれの与ダメージが本来の100%増加し、この効果は味方がダメージを受ける度に1/5ずつ減少する,今川義元,不明
13,晩成の計略,固有,不明,品質：不明,品質:S種類:自律発動率:100%ランダムな敵2人に知略攻撃(ダメージ率140%)を仕掛け、火傷(ダメージ率70%)を付与する。効果は付与後に1回、行動開始すると終了する。攻撃対象が既に火傷を受けている場合、威嚇を付与する。効果は付与後2回目の行動開始前まで持続する,北条早雲,敵軍ランダム2人
14,風雅治世,固有,不明,品質：不明,品質:S種類:内政発動率:35%城下町施設の銅銭の産出量が240増加する,,不明
15,東の一益,固有,不明,品質：不明,品質:S種類:自律発動率:35%ランダムな味方2人に抵抗を1回付与し、攻撃を仕掛ける時に、対象の統率と知略を20%無視する効果を付与する。全ての効果は2ターン後の行動開始前まで持続する,滝川一益,自軍ランダム2人
16,桔梗の旗,固有,不明,品質：不明,品質:S種類:自律発動率:50%ランダムな敵2人に下克上を付与する。効果は付与後2回目の行動開始前まで持続する,明智光秀,敵軍ランダム2人
17,虎之介の槍,固有,不明,品質：不明,品質:S種類:追撃発動率:100%敵1人に通常攻撃後、同一の敵に追加で1回武勇攻撃(ダメージ率160%)を仕掛け、敵の統率を40減少させる。効果は2ターン後の行動開始前まで持続する,加藤清正,敵軍ランダム1人
18,八幡大菩薩,固有,不明,品質：不明,品質:S種類:受動発動率:100%敵にダメージを与えると、自身の統率、武勇、知略、速度全てが10%増加する。ダメージを与える度に効果は重複し、戦闘終了まで持続する,本多忠勝,自分
